trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
260661376.00	-1.05	-47.42	47.44	-78.07	-2930.34	2931.38
260661472.00	-1.16	-47.32	47.34	-86.19	-2924.18	2925.45
260661584.00	-1.06	-47.22	47.23	-78.67	-2917.59	2918.65
260661664.00	-1.07	-47.34	47.36	-78.99	-2925.38	2926.44
260661776.00	-0.89	-47.61	47.62	-66.26	-2942.02	2942.77
260661872.00	-0.93	-47.31	47.32	-68.93	-2923.50	2924.31
260662080.00	-1.19	-47.42	47.43	-88.02	-2929.78	2931.10
260662080.00	-0.91	-47.28	47.29	-67.37	-2921.57	2922.35
260662176.00	-1.01	-47.26	47.27	-74.80	-2920.45	2921.40
260662272.00	-0.61	-47.19	47.19	-45.28	-2915.91	2916.26
260662368.00	-0.96	-47.46	47.47	-71.01	-2932.69	2933.55
260662464.00	-0.85	-47.44	47.45	-62.78	-2931.29	2931.97
260662576.00	-0.94	-47.35	47.35	-69.55	-2925.48	2926.30
260662672.00	-0.94	-47.36	47.37	-69.44	-2926.34	2927.17
260662768.00	-1.04	-47.36	47.38	-77.34	-2926.65	2927.67
260662880.00	-1.01	-47.27	47.28	-74.68	-2920.72	2921.68
260662976.00	-1.22	-47.22	47.24	-90.17	-2917.94	2919.33
260663072.00	-1.00	-47.18	47.19	-74.21	-2915.42	2916.37
260663168.00	-0.92	-47.43	47.44	-68.35	-2930.48	2931.28
260663264.00	-1.16	-47.31	47.32	-85.64	-2923.20	2924.45
260663376.00	-1.02	-47.49	47.50	-75.65	-2934.13	2935.10
260663472.00	-0.94	-47.55	47.56	-69.76	-2938.16	2938.99
260663472.00	-1.03	-47.21	47.22	-76.15	-2917.08	2918.08
260663680.00	-1.03	-47.59	47.60	-76.38	-2940.62	2941.62
260663680.00	-1.26	-47.34	47.36	-93.57	-2925.29	2926.79
260663872.00	-0.72	-47.33	47.34	-53.68	-2924.49	2924.98
260663872.00	-1.23	-47.37	47.39	-90.85	-2927.00	2928.41
260663968.00	-0.90	-47.53	47.54	-66.55	-2937.17	2937.92
260664096.00	-0.93	-47.63	47.64	-69.17	-2942.84	2943.66
260664176.00	-1.37	-47.37	47.39	-101.21	-2926.75	2928.50
260664176.00	-1.10	-47.25	47.26	-81.37	-2919.49	2920.62
260664272.00	-1.03	-47.47	47.48	-76.46	-2933.19	2934.19
260664368.00	-1.13	-47.27	47.28	-83.86	-2920.73	2921.93
260664576.00	-0.86	-47.46	47.46	-63.95	-2932.34	2933.04
260664672.00	-0.95	-47.18	47.19	-70.73	-2915.18	2916.04
260664672.00	-1.08	-47.24	47.25	-79.84	-2919.12	2920.21
260664864.00	-1.27	-47.49	47.50	-94.00	-2934.27	2935.78
260664864.00	-0.86	-47.54	47.54	-63.59	-2937.25	2937.94
260664976.00	-1.02	-47.31	47.32	-75.34	-2923.07	2924.04
260665088.00	-1.04	-47.43	47.44	-76.79	-2930.41	2931.41
260665168.00	-1.00	-47.53	47.54	-74.13	-2937.00	2937.93
260665280.00	-1.10	-47.10	47.11	-81.63	-2910.20	2911.34
260665392.00	-0.92	-47.43	47.44	-67.82	-2930.52	2931.31
260665472.00	-1.21	-47.24	47.25	-89.62	-2918.91	2920.29
260665568.00	-1.21	-47.38	47.40	-89.39	-2927.71	2929.08
260665664.00	-0.90	-47.31	47.32	-66.95	-2923.20	2923.97
260665872.00	-1.09	-47.12	47.13	-80.83	-2911.54	2912.66
260665968.00	-1.09	-47.25	47.26	-80.67	-2919.67	2920.78
260665968.00	-0.95	-47.21	47.22	-70.20	-2916.87	2917.71
260666080.00	-0.99	-47.34	47.35	-73.01	-2925.10	2926.01
260666192.00	-0.90	-47.60	47.61	-66.80	-2941.04	2941.80
260666272.00	-1.14	-47.29	47.30	-84.10	-2922.09	2923.30
260666368.00	-1.10	-47.56	47.57	-81.75	-2938.66	2939.80
260666480.00	-1.13	-47.30	47.31	-83.99	-2922.55	2923.76
260666576.00	-0.85	-47.58	47.59	-62.85	-2940.21	2940.88
260666672.00	-0.99	-47.59	47.60	-73.45	-2940.54	2941.46
260666768.00	-1.05	-47.22	47.24	-77.45	-2918.00	2919.02
260666880.00	-0.95	-47.50	47.51	-70.19	-2934.78	2935.61
260666976.00	-1.01	-47.39	47.40	-75.04	-2928.02	2928.98
260667072.00	-0.99	-47.45	47.46	-73.57	-2932.21	2933.13
260667168.00	-0.82	-47.45	47.46	-60.78	-2932.01	2932.64
260667280.00	-0.97	-47.28	47.29	-72.16	-2921.63	2922.52
260667280.00	-1.16	-47.33	47.35	-86.19	-2924.66	2925.93
260667376.00	-1.23	-47.54	47.56	-90.89	-2937.76	2939.17
260667472.00	-1.10	-47.43	47.44	-81.48	-2930.66	2931.79
260667568.00	-1.03	-47.34	47.36	-76.38	-2925.44	2926.44
260667680.00	-1.23	-47.49	47.50	-90.81	-2934.22	2935.62
260667776.00	-0.95	-47.45	47.46	-70.16	-2932.10	2932.94
260667888.00	-1.08	-47.35	47.37	-79.68	-2926.06	2927.14
260667968.00	-1.07	-47.18	47.20	-79.36	-2915.51	2916.59
260668080.00	-0.97	-47.19	47.20	-72.18	-2915.58	2916.47
260668176.00	-1.12	-47.68	47.69	-82.74	-2945.90	2947.06
