trackRefNum	xPositionInMm	yPositionInMm	yPositionInMm
8417566.00000	5.23490	-0.03975	0.23721
8418865.00000	5.23490	-0.03975	0.23721
8420164.00000	5.23490	-0.03975	0.23721
8421564.00000	5.23490	-0.03975	0.23721
8422864.00000	5.23490	-0.03975	0.23721
8424164.00000	5.23490	-0.03975	0.23721
8425465.00000	5.23490	-0.03975	0.23721
8426765.00000	5.23490	-0.03975	0.23721
8428066.00000	5.23490	-0.03975	0.23721
8429364.00000	5.23490	-0.03975	0.23721
8430665.00000	5.23490	-0.03975	0.23721
8431965.00000	5.23490	-0.03975	0.23721
8433265.00000	5.23490	-0.03975	0.23721
8434565.00000	5.23490	-0.03975	0.23721
8435865.00000	5.23490	-0.03975	0.23721
8437164.00000	5.23490	-0.03975	0.23721
8438466.00000	5.23490	-0.03975	0.23721
8439764.00000	5.23490	-0.03975	0.23721
8441066.00000	5.23490	-0.03975	0.23721
8442364.00000	5.23490	-0.03975	0.23721
8443664.00000	5.23490	-0.03975	0.23721
8444966.00000	5.23490	-0.03975	0.23721
8446265.00000	5.23490	-0.03975	0.23721
8447565.00000	5.23490	-0.03975	0.23721
8448866.00000	5.23490	-0.03975	0.23721
8450266.00000	5.23490	-0.03975	0.23721
8451565.00000	5.23490	-0.03975	0.23721
8452865.00000	5.23490	-0.03975	0.23721
8454065.00000	5.23490	-0.03975	0.23721
8455466.00000	5.23490	-0.03975	0.23721
8456765.00000	5.23490	-0.03975	0.23721
8458065.00000	5.23490	-0.03975	0.23721
8459365.00000	5.23490	-0.03975	0.23721
8460666.00000	5.23490	-0.03975	0.23721
8461965.00000	5.23490	-0.03975	0.23721
8463265.00000	5.23490	-0.03975	0.23721
8464565.00000	5.23490	-0.03975	0.23721
8465865.00000	5.23490	-0.03975	0.23721
8467165.00000	5.23490	-0.03975	0.23721
8468468.00000	5.23490	-0.03975	0.23721
8469766.00000	5.23490	-0.03975	0.23721
8471066.00000	5.23490	-0.03975	0.23721
8472364.00000	5.23490	-0.03975	0.23721
8473766.00000	5.23490	-0.03975	0.23721
8475070.00000	5.23490	-0.03975	0.23721
8476366.00000	5.23490	-0.03975	0.23721
8477666.00000	5.23490	-0.03975	0.23721
8478966.00000	5.23490	-0.03975	0.23721
8480265.00000	5.23490	-0.03975	0.23721
8481566.00000	5.23490	-0.03975	0.23721
8482866.00000	5.23490	-0.03975	0.23721
8484166.00000	5.23490	-0.03975	0.23721
8485465.00000	5.23490	-0.03975	0.23721
8486765.00000	5.23490	-0.03975	0.23721
8488066.00000	5.23490	-0.03975	0.23721
8489366.00000	5.23490	-0.03975	0.23721
8490665.00000	5.23490	-0.03975	0.23721
8492070.00000	5.23490	-0.03975	0.23721
8493366.00000	5.23490	-0.03975	0.23721
8494665.00000	5.23490	-0.03975	0.23721
8495966.00000	5.23490	-0.03975	0.23721
8497265.00000	5.23490	-0.03975	0.23721
8498566.00000	5.23490	-0.03975	0.23721
8499866.00000	5.23490	-0.03975	0.23721
8501165.00000	5.23490	-0.03975	0.23721
8502466.00000	5.23490	-0.03975	0.23721
8503766.00000	5.23490	-0.03975	0.23721
8505067.00000	5.23490	-0.03975	0.23721
8506366.00000	5.23490	-0.03975	0.23721
8507666.00000	5.23490	-0.03975	0.23721
8508967.00000	5.23490	-0.03975	0.23721
8510267.00000	5.23490	-0.03975	0.23721
8511567.00000	5.23490	-0.03975	0.23721
8512866.00000	5.23490	-0.03975	0.23721
8514166.00000	5.23490	-0.03975	0.23721
8515467.00000	5.23490	-0.03975	0.23721
8516766.00000	5.23490	-0.03975	0.23721
8518067.00000	5.23490	-0.03975	0.23721
8519365.00000	5.23490	-0.03975	0.23721
8520665.00000	5.23490	-0.03975	0.23721
8521966.00000	5.23490	-0.03975	0.23721
8523267.00000	5.23490	-0.03975	0.23721
8524566.00000	5.23490	-0.03975	0.23721
8525865.00000	5.23490	-0.03975	0.23721
8527166.00000	5.23490	-0.03975	0.23721
8528467.00000	5.23490	-0.03975	0.23721
8529867.00000	5.23490	-0.03975	0.23721
8531166.00000	5.23490	-0.03975	0.23721
8532466.00000	5.23490	-0.03975	0.23721
8533767.00000	5.23490	-0.03975	0.23721
8535067.00000	5.23490	-0.03975	0.23721
8536365.00000	5.23490	-0.03975	0.23721
8537666.00000	5.23490	-0.03975	0.23721
8538967.00000	5.23490	-0.03975	0.23721
8540268.00000	5.23490	-0.03975	0.23721
8541567.00000	5.23490	-0.03975	0.23721
8542867.00000	5.23490	-0.03975	0.23721
8544167.00000	5.23490	-0.03975	0.23721
8545467.00000	5.23490	-0.03975	0.23721
8546767.00000	5.23490	-0.03975	0.23721
8548067.00000	5.23490	-0.03975	0.23721
8549365.00000	5.23490	-0.03975	0.23721
8550667.00000	5.23490	-0.03975	0.23721
8551966.00000	5.23490	-0.03975	0.23721
8553266.00000	5.23490	-0.03975	0.23721
8554567.00000	5.23490	-0.03975	0.23721
8555867.00000	5.23490	-0.03975	0.23721
8557166.00000	5.23490	-0.03975	0.23721
8558468.00000	5.23490	-0.03975	0.23721
8559768.00000	5.23490	-0.03975	0.23721
8561067.00000	5.23490	-0.03975	0.23721
8562467.00000	5.23490	-0.03975	0.23721
8563767.00000	5.23490	-0.03975	0.23721
8565068.00000	5.23490	-0.03975	0.23721
8566366.00000	5.23490	-0.03975	0.23721
8567667.00000	5.23490	-0.03975	0.23721
