trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
259691680.00	-1.19	-46.68	46.69	-87.84	-2884.22	2885.56
259691776.00	1.38	46.75	46.77	102.08	2888.51	2890.31
259691888.00	1.27	47.08	47.10	94.33	2908.98	2910.51
259691984.00	1.28	46.98	47.00	94.88	2903.08	2904.63
259692096.00	1.25	47.09	47.11	92.82	2909.63	2911.11
259692176.00	1.33	46.94	46.96	98.74	2900.38	2902.06
259692288.00	1.34	46.93	46.95	99.17	2899.56	2901.26
259692384.00	1.25	47.03	47.05	92.31	2905.98	2907.45
259692480.00	-1.25	-46.83	46.84	-92.46	-2893.45	2894.92
259692576.00	1.23	46.78	46.80	91.00	2890.72	2892.15
259692688.00	1.18	47.17	47.18	87.47	2914.51	2915.82
259692784.00	-1.30	-46.96	46.98	-95.97	-2901.61	2903.20
259692880.00	1.25	46.70	46.72	92.67	2885.59	2887.07
259692880.00	-1.12	-46.84	46.85	-83.07	-2894.28	2895.48
259692976.00	-1.27	-46.77	46.79	-93.81	-2890.17	2891.69
259693088.00	1.31	46.90	46.92	96.92	2897.78	2899.40
259693184.00	1.14	46.77	46.79	84.40	2890.09	2891.33
259693280.00	1.23	46.96	46.98	90.84	2901.85	2903.28
259693376.00	1.15	47.06	47.08	85.09	2908.02	2909.27
259693488.00	-1.29	-46.67	46.69	-95.40	-2883.71	2885.29
259693680.00	1.14	47.21	47.22	84.66	2917.01	2918.24
259693680.00	-1.21	-46.77	46.79	-89.39	-2890.05	2891.44
259693776.00	-1.21	-46.73	46.75	-89.34	-2887.71	2889.09
259694016.00	1.07	46.86	46.87	79.37	2895.26	2896.35
259694192.00	1.40	46.75	46.77	103.58	2888.42	2890.27
259694384.00	-1.10	-47.15	47.16	-81.42	-2913.35	2914.49
259694608.00	1.19	46.84	46.86	88.29	2894.52	2895.86
259694784.00	-1.34	-46.93	46.95	-99.16	-2899.78	2901.47
259695216.00	-1.07	-45.41	45.42	-79.11	-2805.72	2806.83
259695488.00	-1.22	-45.70	45.72	-90.44	-2824.09	2825.53
259695712.00	-1.24	-45.22	45.24	-91.85	-2794.32	2795.83
259695984.00	-1.12	-45.13	45.14	-82.61	-2788.40	2789.63
259696288.00	-1.18	-45.30	45.32	-87.54	-2799.14	2800.51
259696288.00	1.26	45.27	45.29	93.53	2797.11	2798.67
259696384.00	-1.24	-45.45	45.47	-91.71	-2808.56	2810.06
259696496.00	-1.10	-45.68	45.69	-81.54	-2822.35	2823.53
259696576.00	-1.08	-45.13	45.15	-80.30	-2788.83	2789.99
259696688.00	-0.96	-45.28	45.29	-71.32	-2797.66	2798.57
259696784.00	-1.18	-45.29	45.31	-87.66	-2798.50	2799.88
259696880.00	-1.04	-45.69	45.70	-77.36	-2823.15	2824.21
259696992.00	-1.18	-45.32	45.33	-87.63	-2800.12	2801.49
259697088.00	-1.39	-45.19	45.21	-103.29	-2792.49	2794.40
259697088.00	-1.30	-45.39	45.41	-96.17	-2804.55	2806.20
259697184.00	-1.05	-45.37	45.38	-77.45	-2803.11	2804.18
259697296.00	-1.29	-45.41	45.42	-95.25	-2805.65	2807.27
259697488.00	-1.26	-45.42	45.44	-93.09	-2806.58	2808.12
259697584.00	-1.02	-45.50	45.51	-75.28	-2811.34	2812.35
259697584.00	-1.12	-45.60	45.62	-82.83	-2817.86	2819.07
259697776.00	-1.09	-45.29	45.30	-80.84	-2798.54	2799.71
259697888.00	1.18	45.54	45.55	87.67	2813.71	2815.08
259697984.00	-1.32	-45.28	45.30	-97.77	-2798.13	2799.84
259698080.00	-1.38	-45.30	45.32	-102.11	-2799.16	2801.03
259698080.00	-1.15	-45.27	45.29	-84.83	-2797.36	2798.64
259698176.00	-1.24	-45.26	45.28	-91.63	-2796.76	2798.26
259698288.00	-1.25	-45.31	45.33	-92.90	-2799.61	2801.15
259698384.00	-1.30	-45.29	45.31	-96.21	-2798.40	2800.06
259698480.00	-1.16	-45.39	45.41	-86.29	-2804.85	2806.17
259698576.00	-1.19	-45.33	45.35	-88.31	-2801.08	2802.47
259698784.00	-1.19	-45.44	45.45	-87.99	-2807.68	2809.05
259698880.00	-1.27	-45.30	45.31	-93.87	-2798.86	2800.44
259698880.00	-1.32	-45.31	45.33	-97.97	-2799.93	2801.64
259698976.00	-1.07	-44.99	45.00	-78.99	-2779.78	2780.90
259699088.00	-1.10	-45.29	45.31	-81.67	-2798.67	2799.86
259699280.00	-1.12	-45.34	45.36	-83.16	-2801.70	2802.93
259699280.00	-1.27	-45.50	45.52	-94.23	-2811.59	2813.17
259699376.00	1.14	45.51	45.52	84.48	2812.08	2813.35
259699488.00	1.11	45.25	45.27	82.52	2796.18	2797.39
259699584.00	-1.20	-45.47	45.49	-88.53	-2809.68	2811.08
259699680.00	-1.18	-45.51	45.53	-87.57	-2812.15	2813.51
259699776.00	-1.20	-45.53	45.55	-88.78	-2813.54	2814.94
259699888.00	1.22	45.39	45.41	90.59	2804.84	2806.30
259699984.00	-1.08	-43.55	43.56	-79.90	-2690.90	2692.08
259700096.00	-1.06	-44.01	44.02	-78.68	-2719.12	2720.25
259700176.00	-1.02	-43.58	43.59	-75.62	-2692.56	2693.62
259700384.00	-1.13	-43.71	43.72	-83.91	-2700.72	2702.03
259700576.00	-1.02	-44.02	44.03	-75.65	-2720.00	2721.05
259700688.00	-0.98	-43.61	43.63	-72.92	-2694.94	2695.93
259700784.00	-1.02	-43.88	43.89	-75.22	-2711.30	2712.35
259700880.00	-1.16	-43.68	43.70	-86.23	-2699.17	2700.54
259700880.00	-0.90	-43.88	43.89	-66.71	-2711.43	2712.25
259700976.00	-1.00	-43.77	43.78	-73.76	-2704.74	2705.74
259701184.00	-1.29	-43.90	43.91	-95.49	-2712.33	2714.01
259701296.00	0.90	44.11	44.12	66.98	2725.37	2726.19
259701376.00	-1.18	-43.82	43.84	-87.30	-2707.88	2709.29
259701488.00	-1.30	-43.79	43.81	-96.12	-2705.60	2707.31
