 # Date of Experiment: 18/01/02014
 # Time of Experiment: 11:01:27
 # Laser Diode Temp (C): 0.00000
 # Laser Diode Operating Hours (h): 0.00000
 # Laser Diode Current (A): 0.00000
 # AOD ANDOR center x (pixels): 240.500
 # AOD ANDOR center y (pixels): 253.778
 # AOD ANDOR range x (pixels): 27.5000
 # AOD ANDOR range y (pixels): 27.2200
 # AOD CCD center x (pixels): 278.500
 # AOD CCD center y (pixels): 370.750
 # AOD CCD range x (pixels): 163.000
 # AOD CCD range y (pixels): 135.000
 # PM ANDOR center x (pixels): 245.889
 # PM ANDOR center y (pixels): 262.250
 # PM ANDOR range x (pixels): 15.2700
 # PM ANDOR range y (pixels): 10.5000
 # PM CCD center x (pixels): 308.250
 # PM CCD center y (pixels): 412.000
 # PM CCD range x (pixels): 92.3333
 # PM CCD range y (pixels): 52.0000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 47.3100
 # CCD pixel size y (nm): 57.1700
 # AOD detector x offset (V): -0.0322060
 # AOD detector y offset (V): -0.0846000
 # AOD trap stiffness x (pN/nm): 0.123303
 # AOD trap stiffness y (pN/nm): 0.126880
 # AOD trap distance conversion x (V/Nm): 0.000695000
 # AOD trap distance conversion y (V/Nm): 0.000802000
 # PM detector x offset (V): -0.0410150
 # PM detector y offset (V): -0.278679
 # PM trap stiffness x (pN/nm): 0.124807
 # PM trap stiffness y (pN/nm): 0.109598
 # PM trap distance conversion x (V/nm): 0.000682000
 # PM trap distance conversion y (V/nm): 0.000604000
 # AOD bead radius (um): 1.05000
 # PM bead radius  (um): 1.05000
 # Sample rate (Hz): 1000
 # Number of samples (int): 10
 # Delta time (s): 0.0100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force X felt by AOD (pN)	Force X felt by PM  (pN)	Force Y felt by AOD (pN)	Force Y felt by PM  (pN)	Norm of force felt by AOD (pN)	Norm of force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)
27057820.000000	27617.368000	10864.138795	0.000000	2944.069040	3004.982148	0.338861	0.002928	-0.247748	-0.211756	0.419769	0.211777	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758246	4.972262	-0.040999	-0.279846	2.794277	-0.030296	-0.086166	3.462078	-4.713170	0.583300	-0.009420	-0.092576	-0.241513	-0.865992	-0.053172
27057830.000000	27617.378000	10864.148709	0.000000	2940.326365	3011.288141	-0.079482	-0.122977	0.203609	-0.232079	0.218573	0.262648	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757830	4.972446	-0.041687	-0.279958	2.794365	-0.032654	-0.083313	3.463948	-4.713170	0.583300	-0.009420	-0.092576	-0.239259	-0.865697	-0.053524
27057840.000000	27617.388000	10864.158762	0.000000	2944.253762	3011.288141	0.087820	-0.117121	0.151876	0.153691	0.175439	0.193231	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758006	4.972358	-0.041655	-0.277832	2.793574	-0.031711	-0.083640	3.461039	-4.713170	0.583300	-0.009420	-0.092984	-0.240825	-0.866184	-0.054659
27057850.000000	27617.398000	10864.168731	0.000000	2941.318328	3011.288141	-0.011355	0.064234	-0.452623	-0.690250	0.452765	0.693232	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757878	4.972158	-0.040664	-0.282483	2.794253	-0.032270	-0.087461	3.462766	-4.713170	0.583300	-0.009420	-0.092872	-0.239515	-0.866544	-0.054019
27057860.000000	27617.408000	10864.178744	0.000000	2949.533336	3011.288141	0.008516	0.102298	-0.494389	0.174014	0.494462	0.201856	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758102	4.972630	-0.040456	-0.277720	2.794277	-0.032158	-0.087725	3.460072	-4.713170	0.583300	-0.009420	-0.093312	-0.240418	-0.865513	-0.053364
27057870.000000	27617.418000	10864.188769	0.000000	2947.095464	2991.677933	0.177237	-0.339468	0.098720	0.419158	0.202876	0.539381	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758086	4.972278	-0.042870	-0.276369	2.792639	-0.031207	-0.083976	3.460951	-4.713170	0.583300	-0.009420	-0.092185	-0.239123	-0.865912	-0.054939
27057880.000000	27617.428000	10864.198787	0.000000	2942.511644	2991.677933	0.168721	-0.335076	-0.251545	-0.385770	0.302889	0.510974	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758142	4.972318	-0.042846	-0.280805	2.793190	-0.031255	-0.086190	3.464044	-4.713170	0.583300	-0.009420	-0.093376	-0.241753	-0.865593	-0.053852
27057890.000000	27617.438000	10864.208755	0.000000	2939.286519	2991.677933	-0.026967	-0.045384	0.538686	-0.056614	0.539361	0.072559	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757942	4.972174	-0.041263	-0.278991	2.794805	-0.032358	-0.081195	3.463589	-4.713170	0.583300	-0.009420	-0.092664	-0.239938	-0.866360	-0.052397
27057900.000000	27617.448000	10864.218746	0.000000	2950.836238	2991.677933	-0.276589	-0.282371	-0.501983	0.310286	0.573139	0.419536	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758086	4.972358	-0.042558	-0.276969	2.794453	-0.033765	-0.087773	3.460751	-4.713170	0.583300	-0.009420	-0.094822	-0.241673	-0.865329	-0.054235
27057910.000000	27617.458000	10864.228770	0.000000	2939.979689	3014.181384	-0.072385	0.017568	-0.042873	-0.483030	0.084129	0.483349	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757998	4.972278	-0.040919	-0.281341	2.793886	-0.032614	-0.084871	3.460735	-4.713170	0.583300	-0.009420	-0.092416	-0.239283	-0.865673	-0.054707
