# Date of Experiment: 18/08/2014	15:56

# AOD detector vertical offset:  -0.089041
# AOD detector horizontal offset: -0.067967
# AOD vertical corner frequency 281.253681
# AOD horizontal corner frequency: 503.090072
# AOD vertical trap stiffness (pN/nm): 0.040178
# AOD horizontal trap stiffness (pN/nm): 0.071868
# AOD vertical OLS (V/nm): 0.000498
# AOD horizontal OLS (V/nm): 0.000616
# PM detector vertical offset:  -0.293473
# PM detector horizontal offset: -0.045776
# PM vertical corner frequency 502.663972
# PM horizontal corner frequency: 648.164174
# PM vertical trap stiffness (pN/nm): 0.071807
# PM horizontal trap stiffness (pN/nm): 0.092592
# PM vertical OLS (V/nm): 0.000573
# PM horizontal OLS (V/nm): 0.000737
# PM bead diameter (um): 2.100000
# AOD bead diameter (um): 2.100000

# sample rate: 80000 Hz
# number of samples: 524288
# number of blocks: 64.000000

# viscosity (pN s / nm^2): 1.148727E-9
                                                                                                                                                                                                                       
freq 	  PSD PMx 	  PSD PMy  	 PSD AODx 	 PSD AODy 	  Fit PMx 	  Fit PMy 	 Fit AODx 	 Fit AODy 
1.113281E+3	4.262851E-9	3.464464E-9	5.192375E-9	6.401288E-9	5.043134E-9	3.432961E-9	3.143235E-9	2.002711E-9
1.123047E+3	4.660736E-9	3.364534E-9	4.817763E-9	4.968339E-9	4.977629E-9	3.383438E-9	3.097905E-9	1.970079E-9
1.132812E+3	5.375383E-9	3.544921E-9	4.410070E-9	5.286127E-9	4.913253E-9	3.334909E-9	3.053484E-9	1.938222E-9
1.142578E+3	5.022464E-9	3.615645E-9	4.265468E-9	4.777553E-9	4.849985E-9	3.287351E-9	3.009951E-9	1.907117E-9
1.152344E+3	6.636563E-9	3.769632E-9	3.363074E-9	4.966949E-9	4.787803E-9	3.240738E-9	2.967283E-9	1.876739E-9
1.162109E+3	5.517636E-9	3.919623E-9	3.293458E-9	5.000013E-9	4.726686E-9	3.195049E-9	2.925461E-9	1.847068E-9
1.171875E+3	4.920177E-9	3.596168E-9	4.512311E-9	5.009942E-9	4.666614E-9	3.150261E-9	2.884462E-9	1.818081E-9
1.181641E+3	4.865620E-9	3.782247E-9	4.541475E-9	5.004115E-9	4.607565E-9	3.106351E-9	2.844268E-9	1.789759E-9
1.191406E+3	4.583290E-9	3.912611E-9	3.739161E-9	5.068080E-9	4.549520E-9	3.063300E-9	2.804859E-9	1.762081E-9
1.201172E+3	4.505645E-9	3.693326E-9	3.423452E-9	4.703671E-9	4.492460E-9	3.021085E-9	2.766216E-9	1.735029E-9
1.210937E+3	4.444673E-9	3.843947E-9	3.884683E-9	4.429962E-9	4.436364E-9	2.979688E-9	2.728320E-9	1.708584E-9
1.220703E+3	4.709197E-9	3.327629E-9	4.927457E-9	3.782891E-9	4.381215E-9	2.939088E-9	2.691154E-9	1.682729E-9
1.230469E+3	4.385980E-9	3.179228E-9	4.131097E-9	4.141811E-9	4.326993E-9	2.899266E-9	2.654701E-9	1.657446E-9
1.240234E+3	3.342267E-9	3.393596E-9	4.180641E-9	4.497949E-9	4.273681E-9	2.860205E-9	2.618943E-9	1.632719E-9
1.250000E+3	3.701932E-9	3.666002E-9	4.274119E-9	4.888436E-9	4.221260E-9	2.821885E-9	2.583864E-9	1.608532E-9
1.259766E+3	3.842438E-9	3.215982E-9	4.178806E-9	4.453762E-9	4.169713E-9	2.784290E-9	2.549448E-9	1.584869E-9
1.269531E+3	4.393647E-9	3.435758E-9	3.333714E-9	5.444671E-9	4.119024E-9	2.747403E-9	2.515679E-9	1.561717E-9
1.279297E+3	4.619967E-9	3.609723E-9	3.551016E-9	5.304346E-9	4.069174E-9	2.711206E-9	2.482543E-9	1.539060E-9
1.289062E+3	3.923021E-9	3.826418E-9	3.897421E-9	4.960433E-9	4.020149E-9	2.675684E-9	2.450025E-9	1.516885E-9
1.298828E+3	4.194037E-9	3.438206E-9	3.892423E-9	5.067872E-9	3.971931E-9	2.640821E-9	2.418109E-9	1.495178E-9
1.308594E+3	3.907659E-9	2.443977E-9	3.637800E-9	4.245652E-9	3.924505E-9	2.606602E-9	2.386783E-9	1.473927E-9
1.318359E+3	3.883198E-9	2.849741E-9	4.534504E-9	4.143613E-9	3.877855E-9	2.573012E-9	2.356032E-9	1.453119E-9
1.328125E+3	4.542615E-9	3.908398E-9	3.891476E-9	4.233074E-9	3.831967E-9	2.540036E-9	2.325843E-9	1.432742E-9
1.337891E+3	3.785483E-9	3.293483E-9	3.418449E-9	3.603421E-9	3.786825E-9	2.507661E-9	2.296204E-9	1.412784E-9
1.347656E+3	3.759490E-9	2.787213E-9	3.900019E-9	3.646758E-9	3.742415E-9	2.475872E-9	2.267102E-9	1.393235E-9
1.357422E+3	3.477822E-9	2.743673E-9	3.920870E-9	2.996354E-9	3.698723E-9	2.444657E-9	2.238525E-9	1.374083E-9
1.367187E+3	3.015708E-9	3.044389E-9	4.602367E-9	3.245194E-9	3.655735E-9	2.414002E-9	2.210460E-9	1.355317E-9
1.376953E+3	3.457856E-9	3.129871E-9	4.375724E-9	3.675454E-9	3.613437E-9	2.383894E-9	2.182897E-9	1.336928E-9
1.386719E+3	4.256876E-9	3.073621E-9	3.764862E-9	4.048200E-9	3.571816E-9	2.354322E-9	2.155823E-9	1.318906E-9
1.396484E+3	3.711789E-9	2.618421E-9	3.129282E-9	3.941375E-9	3.530858E-9	2.325273E-9	2.129229E-9	1.301241E-9
1.406250E+3	3.555476E-9	3.467425E-9	3.525406E-9	3.289330E-9	3.490551E-9	2.296736E-9	2.103103E-9	1.283923E-9
1.416016E+3	3.247700E-9	3.154847E-9	3.583120E-9	3.446702E-9	3.450883E-9	2.268699E-9	2.077434E-9	1.266945E-9
1.425781E+3	4.230684E-9	3.018162E-9	3.915006E-9	3.151808E-9	3.411841E-9	2.241152E-9	2.052214E-9	1.250297E-9
1.435547E+3	3.872223E-9	2.669458E-9	3.311007E-9	2.783732E-9	3.373414E-9	2.214083E-9	2.027431E-9	1.233970E-9
1.445312E+3	3.071519E-9	2.847053E-9	2.707889E-9	3.177656E-9	3.335588E-9	2.187481E-9	2.003077E-9	1.217958E-9
1.455078E+3	3.318760E-9	2.239482E-9	3.069001E-9	2.645818E-9	3.298354E-9	2.161338E-9	1.979142E-9	1.202251E-9
1.464844E+3	3.457343E-9	2.360990E-9	2.990311E-9	3.215003E-9	3.261699E-9	2.135642E-9	1.955616E-9	1.186843E-9
1.474609E+3	3.403163E-9	2.208630E-9	3.312358E-9	3.922983E-9	3.225613E-9	2.110384E-9	1.932491E-9	1.171725E-9
1.484375E+3	2.808189E-9	2.612862E-9	2.564441E-9	3.645147E-9	3.190084E-9	2.085554E-9	1.909759E-9	1.156891E-9
1.494141E+3	2.440002E-9	2.239012E-9	2.283856E-9	3.740865E-9	3.155103E-9	2.061144E-9	1.887410E-9	1.142333E-9
1.503906E+3	2.797109E-9	2.182321E-9	2.529026E-9	3.975641E-9	3.120659E-9	2.037144E-9	1.865436E-9	1.128046E-9
1.513672E+3	2.763404E-9	1.890806E-9	2.939544E-9	3.278954E-9	3.086741E-9	2.013545E-9	1.843831E-9	1.114021E-9
1.523437E+3	2.809995E-9	1.870155E-9	2.857634E-9	3.321410E-9	3.053341E-9	1.990340E-9	1.822585E-9	1.100254E-9
1.533203E+3	3.202540E-9	2.293650E-9	3.005908E-9	3.311862E-9	3.020447E-9	1.967519E-9	1.801690E-9	1.086737E-9
1.542969E+3	4.068354E-9	2.465489E-9	3.085623E-9	3.452566E-9	2.988051E-9	1.945074E-9	1.781141E-9	1.073466E-9
1.552734E+3	3.849434E-9	2.270422E-9	2.978582E-9	3.119754E-9	2.956144E-9	1.922998E-9	1.760929E-9	1.060433E-9
1.562500E+3	3.297502E-9	2.212815E-9	2.915641E-9	2.847188E-9	2.924716E-9	1.901283E-9	1.741047E-9	1.047634E-9
1.572266E+3	3.186651E-9	1.763363E-9	2.749226E-9	2.441841E-9	2.893758E-9	1.879922E-9	1.721489E-9	1.035062E-9
1.582031E+3	3.284665E-9	1.849816E-9	2.461849E-9	2.325914E-9	2.863262E-9	1.858906E-9	1.702248E-9	1.022714E-9
