# Date of Experiment: 18/08/2014
# measurement starttime: 15:56  

# Laser Diode Status

# Laser Diode Operating Hours (h): 30088.300000
# Laser Diode Current (A): 13.980000

# results thermal calibration: 

# AOD detector vertical offset:  -0.086640
# AOD detector horizontal offset: -0.058736
# AOD vertical trap stiffness (pN/nm): 0.040178
# AOD horizontal trap stiffness (pN/nm): 0.071868
# AOD vertical OLS (V/nm): 0.000498
# AOD horizontal OLS (V/nm): 0.000616
# PM detector vertical offset:  -0.288765
# PM detector horizontal offset: -0.049036
# PM vertical trap stiffness (pN/nm): 0.071807
# PM horizontal trap stiffness (pN/nm): 0.092592
# PM vertical OLS (V/nm): 0.000573
# PM horizontal OLS (V/nm): 0.000737
# PM bead diameter (um): 2.100000
# AOD bead diameter (um): 2.100000
# Viscosity (pN s / nm^2): 1.148727E-9

# sample rate (Hz): 10000
# number of samples: 10
# rate of while-loop(Hz):  1000
# dt (s): 0.00100
# data averaged to while-loop: FALSE


                                                                                                                              
# start of measurement (iteration) : 11143987
# end of measurement (iteration) : 11234731
# duration of measurement(s): 91
# errors: 0	0	0	0	0

                                                  
PMxdiff (V)	  PMydiff (V)	  PMxsum (V)	 AODxdiff (V)	 AODydiff (V)	  AODxsum (V)	  FBxsum (V)	 xdist (nm) 	 ydist (nm)  	  FBx (V) 	 FBy (V)	 PMsensorx (V)	 PMsensory (V)	 TrackingReferenceTime
-0.051558	-0.295248	2.597392	-0.060972	-0.083521	3.141977	0.722067	-0.000171	3000.000727	-0.067399	-0.160506	4.763928	5.934413	251936395.000000
-0.050303	-0.296575	2.599374	-0.058790	-0.084152	3.140922	0.721836	-0.000171	3000.000727	-0.068047	-0.161617	4.764048	5.934524	251936395.000000
-0.047633	-0.297414	2.598503	-0.058135	-0.083720	3.136886	0.722155	-0.000171	3000.000727	-0.066216	-0.160506	4.763960	5.934453	251936395.000000
-0.052773	-0.290724	2.597944	-0.060516	-0.081634	3.132346	0.722963	-0.000171	3000.000727	-0.066784	-0.160498	4.763809	5.934588	251936395.000000
-0.046003	-0.289805	2.597296	-0.061108	-0.086862	3.133880	0.722091	-0.000171	3000.000727	-0.068414	-0.160602	4.763849	5.934716	251936395.000000
-0.048888	-0.290884	2.597696	-0.058454	-0.084472	3.135799	0.721236	-0.000171	3000.000727	-0.069573	-0.162321	4.763729	5.934652	251936395.000000
-0.046306	-0.286784	2.595186	-0.060444	-0.085607	3.138628	0.721012	-0.000171	3000.000727	-0.069997	-0.160243	4.764032	5.934532	251936395.000000
-0.043005	-0.289885	2.595770	-0.059997	-0.086949	3.140490	0.721907	-0.000171	3000.000727	-0.069909	-0.160866	4.764024	5.934700	251936395.000000
-0.049903	-0.287990	2.596313	-0.057999	-0.086214	3.140003	0.721708	-0.000171	3000.000727	-0.070341	-0.160331	4.764384	5.934788	251936395.000000
-0.049999	-0.287998	2.599095	-0.055193	-0.090738	3.140642	0.721060	-0.000171	3000.000727	-0.071372	-0.159867	4.764544	5.934620	251936395.000000
-0.049344	-0.285713	2.598096	-0.054969	-0.085567	3.133345	0.720812	-0.000171	3000.000727	-0.071380	-0.160203	4.764712	5.934668	251936395.000000
-0.047537	-0.285673	2.597816	-0.057391	-0.087845	3.133193	0.721068	-0.000171	3000.000727	-0.069118	-0.159755	4.764112	5.934724	251936395.000000
-0.048848	-0.282627	2.597776	-0.058542	-0.090194	3.135087	0.721764	-0.000171	3000.000727	-0.070996	-0.160067	4.764200	5.934612	251936395.000000
-0.045419	-0.283770	2.600669	-0.055097	-0.091857	3.139715	0.723026	-0.000171	3000.000727	-0.070317	-0.161162	4.764304	5.934596	251936395.000000
-0.047130	-0.287687	2.600126	-0.059741	-0.087357	3.140666	0.721220	-0.000171	3000.000727	-0.069206	-0.161058	4.764336	5.934580	251936395.000000
-0.046474	-0.290188	2.599023	-0.058910	-0.084911	3.140482	0.721820	-0.000171	3000.000727	-0.068614	-0.160259	4.764128	5.934564	251936395.000000
-0.053979	-0.289781	2.599334	-0.056984	-0.085631	3.138364	0.721284	-0.000171	3000.000727	-0.069805	-0.161226	4.763952	5.934437	251936395.000000
-0.045667	-0.291587	2.599007	-0.059501	-0.085423	3.138828	0.721700	-0.000171	3000.000727	-0.068031	-0.160786	4.764192	5.934437	251936395.000000
-0.045483	-0.292490	2.597528	-0.059333	-0.090282	3.134352	0.721340	-0.000171	3000.000727	-0.068238	-0.159723	4.764080	5.934421	251936395.000000
-0.049232	-0.288910	2.597880	-0.059142	-0.085015	3.133521	0.722395	-0.000171	3000.000727	-0.068286	-0.160123	4.764024	5.934732	251936395.000000
-0.050822	-0.289461	2.597288	-0.056016	-0.086949	3.136318	0.721931	-0.000171	3000.000727	-0.068310	-0.161506	4.764104	5.934644	251936395.000000
-0.048201	-0.291387	2.596497	-0.060412	-0.091937	3.137837	0.722075	-0.000171	3000.000727	-0.066960	-0.160762	4.764096	5.934668	251936395.000000
-0.049591	-0.287687	2.597136	-0.057455	-0.088540	3.140099	0.722307	-0.000171	3000.000727	-0.064890	-0.160323	4.763912	5.934532	251936395.000000
-0.051741	-0.291387	2.597680	-0.059701	-0.082114	3.139419	0.722171	-0.000171	3000.000727	-0.066552	-0.160163	4.763601	5.934540	251936395.000000
-0.046850	-0.292187	2.597280	-0.061827	-0.082505	3.139483	0.722003	-0.000171	3000.000727	-0.068230	-0.159340	4.763433	5.934485	251936395.000000
-0.049711	-0.284178	2.595938	-0.058550	-0.087125	3.136494	0.722531	-0.000171	3000.000727	-0.067447	-0.160530	4.763681	5.934724	251936395.000000
-0.044988	-0.288886	2.597312	-0.062443	-0.088820	3.133760	0.721516	-0.000171	3000.000727	-0.069389	-0.160459	4.764144	5.934604	251936395.000000
-0.048145	-0.290612	2.595346	-0.059773	-0.085894	3.133545	0.722035	-0.000171	3000.000727	-0.069797	-0.160115	4.764408	5.934668	251936395.000000
-0.045403	-0.289789	2.598104	-0.059309	-0.092281	3.137197	0.722651	-0.000171	3000.000727	-0.070892	-0.160986	4.764192	5.934540	251936395.000000
-0.046322	-0.281404	2.599542	-0.055625	-0.090306	3.137581	0.721188	-0.000171	3000.000727	-0.070237	-0.160498	4.764208	5.934477	251936395.000000
-0.046338	-0.283594	2.595642	-0.059693	-0.093623	3.138628	0.721604	-0.000171	3000.000727	-0.070396	-0.160395	4.764600	5.934668	251936395.000000
-0.045659	-0.288038	2.597536	-0.061707	-0.088956	3.139747	0.722139	-0.000171	3000.000727	-0.072315	-0.161913	4.764592	5.934540	251936395.000000
-0.048824	-0.284274	2.597392	-0.061284	-0.087685	3.140115	0.721580	-0.000171	3000.000727	-0.069621	-0.161290	4.764168	5.934532	251936395.000000
-0.045563	-0.289565	2.595018	-0.056544	-0.082745	3.135583	0.721172	-0.000171	3000.000727	-0.069909	-0.160962	4.764016	5.934540	251936395.000000
-0.046458	-0.286400	2.597152	-0.061100	-0.088620	3.133105	0.722211	-0.000171	3000.000727	-0.069829	-0.159811	4.763729	5.934740	251936395.000000
-0.048656	-0.289261	2.597664	-0.060516	-0.085902	3.134432	0.722187	-0.000171	3000.000727	-0.069190	-0.160922	4.763920	5.934429	251936395.000000
-0.053963	-0.289685	2.599215	-0.055033	-0.086086	3.135311	0.721915	-0.000171	3000.000727	-0.069637	-0.162129	4.763880	5.934461	251936395.000000
-0.049671	-0.294289	2.598647	-0.056360	-0.087261	3.137277	0.721476	-0.000171	3000.000727	-0.068462	-0.160059	4.764272	5.934532	251936395.000000
-0.049871	-0.290037	2.597096	-0.058654	-0.085878	3.138620	0.721612	-0.000171	3000.000727	-0.067103	-0.160043	4.763833	5.934301	251936395.000000
-0.048241	-0.297150	2.598359	-0.060357	-0.079348	3.139955	0.721428	-0.000171	3000.000727	-0.067663	-0.160626	4.764248	5.934413	251936395.000000
-0.046650	-0.287471	2.597656	-0.058782	-0.081331	3.138069	0.721812	-0.000171	3000.000727	-0.067111	-0.161769	4.764192	5.934652	251936395.000000
-0.046762	-0.291531	2.595866	-0.054498	-0.090450	3.134983	0.722403	-0.000171	3000.000727	-0.066488	-0.160546	4.763689	5.934580	251936395.000000
-0.053500	-0.290732	2.596545	-0.056528	-0.087445	3.132793	0.721860	-0.000171	3000.000727	-0.067223	-0.161817	4.764096	5.934548	251936395.000000
-0.050207	-0.287895	2.597936	-0.057847	-0.083712	3.132578	0.721628	-0.000171	3000.000727	-0.065992	-0.161138	4.764128	5.934508	251936395.000000
-0.056673	-0.289333	2.599095	-0.056832	-0.084735	3.133129	0.721484	-0.000171	3000.000727	-0.067551	-0.161002	4.763992	5.934325	251936395.000000
-0.050710	-0.293426	2.598223	-0.056376	-0.088972	3.137213	0.720421	-0.000171	3000.000727	-0.068870	-0.161194	4.764272	5.934588	251936395.000000
-0.047625	-0.287247	2.598935	-0.064433	-0.084280	3.140546	0.722355	-0.000171	3000.000727	-0.068590	-0.160123	4.764120	5.934684	251936395.000000
-0.046083	-0.288742	2.598831	-0.059014	-0.084528	3.141873	0.721907	-0.000171	3000.000727	-0.069789	-0.161130	4.763888	5.934692	251936395.000000
-0.043693	-0.292171	2.599982	-0.061515	-0.087869	3.139355	0.722299	-0.000171	3000.000727	-0.071699	-0.161282	4.764016	5.934612	251936395.000000
-0.044412	-0.290748	2.599742	-0.057447	-0.093264	3.135495	0.721556	-0.000171	3000.000727	-0.070085	-0.160690	4.764728	5.934540	251936395.000000
-0.046131	-0.289501	2.596793	-0.059102	-0.086957	3.132386	0.722219	-0.000171	3000.000727	-0.070556	-0.160826	4.764672	5.934572	251936395.000000
-0.046994	-0.286784	2.597752	-0.059549	-0.091098	3.131818	0.720852	-0.000171	3000.000727	-0.071364	-0.160698	4.764616	5.934668	251936395.000000
-0.046218	-0.287927	2.597544	-0.057207	-0.086366	3.134560	0.721340	-0.000171	3000.000727	-0.071468	-0.161873	4.764072	5.934756	251936494.000000
-0.044564	-0.285361	2.597128	-0.062762	-0.091465	3.138500	0.722243	-0.000171	3000.000727	-0.069357	-0.161146	4.763960	5.934668	251936494.000000
-0.043005	-0.286584	2.598591	-0.062243	-0.088660	3.139052	0.721732	-0.000171	3000.000727	-0.069246	-0.160403	4.764328	5.934604	251936494.000000
-0.045915	-0.291140	2.598247	-0.062179	-0.087717	3.142369	0.722867	-0.000171	3000.000727	-0.068542	-0.159332	4.764680	5.934532	251936494.000000
-0.046682	-0.288806	2.595258	-0.062978	-0.084112	3.137629	0.722515	-0.000171	3000.000727	-0.066896	-0.160011	4.764552	5.934620	251936494.000000
-0.047282	-0.289869	2.596641	-0.060716	-0.090059	3.134848	0.721668	-0.000171	3000.000727	-0.067415	-0.160730	4.764392	5.934556	251936494.000000
-0.050806	-0.289141	2.599350	-0.056528	-0.088204	3.134152	0.722123	-0.000171	3000.000727	-0.068159	-0.161058	4.764504	5.934469	251936494.000000
-0.048193	-0.292115	2.597320	-0.053491	-0.087317	3.135655	0.722803	-0.000171	3000.000727	-0.068286	-0.160618	4.764568	5.934540	251936494.000000
-0.049743	-0.289205	2.596777	-0.053339	-0.086302	3.136750	0.722003	-0.000171	3000.000727	-0.066600	-0.159843	4.764600	5.934477	251936494.000000
-0.043701	-0.291883	2.596193	-0.059853	-0.086350	3.138420	0.721876	-0.000171	3000.000727	-0.067111	-0.161633	4.764000	5.934532	251936494.000000
-0.045771	-0.286991	2.598951	-0.059549	-0.086598	3.141753	0.721428	-0.000171	3000.000727	-0.067191	-0.160538	4.763976	5.934628	251936494.000000
-0.050535	-0.293106	2.594986	-0.056504	-0.086854	3.140267	0.722123	-0.000171	3000.000727	-0.066008	-0.160626	4.763928	5.934389	251936494.000000
-0.046714	-0.284881	2.596841	-0.060524	-0.088668	3.137213	0.722011	-0.000171	3000.000727	-0.067048	-0.160514	4.764264	5.934461	251936494.000000
-0.048361	-0.287455	2.600358	-0.057903	-0.088716	3.133912	0.722731	-0.000171	3000.000727	-0.067719	-0.161306	4.764544	5.934612	251936494.000000
